entityId1,entityId2
1484,15558
656,10558
2476,6955
1983,6913
334,10661
1377,12161
2418,7679
841,7503
211,400
2074,17803
229,13258
199,5511
2151,7338
428,6990
1141,9253
1797,6004
1478,1766
1564,6914
660,10273
1396,2438
992,19592
136,2576
936,14004
2477,4884
2154,11211
1792,8494
555,19009
1397,20805
1922,20240
1613,17218
735,12273
1187,5479
1044,3009
2050,21912
42,172
1751,20117
1615,12973
2520,15683
1198,14823
630,12817
1338,17543
872,15268
2259,14834
2416,5899
738,18197
1653,1649
2119,20314
579,15015
2163,8469
1584,11475
2536,12333
2369,20052
2275,19662
1888,6729
57,13302
983,18364
2253,11265
1236,7615
1001,6638
715,7850
945,3103
556,6721
284,2675
2513,20426
939,3615
1904,15684
376,9389
1964,14803
264,16640
864,11894
1391,2976
1080,14454
1560,19669
2183,10973
1325,10507
394,1767
2116,14495
2522,3324
93,8350
2084,8987
1777,3750
1833,9342
759,8381
678,8962
645,6760
1511,4519
205,10517
623,14735
1252,9635
1292,18602
2226,8670
452,16645
1766,5888
1077,11884
892,21096
1943,15780
1706,17026
798,6373
1190,10706
1485,1375
49,8096
66,3668
1441,15284
771,5517
1845,185
2353,13476
1197,4814
829,8897
1177,20811
1632,20070
853,6747
309,19291
893,11620
2017,16793
2158,9026
1643,2779
137,21120
2396,18101
126,1555
1437,11704
310,4720
1984,1120
1256,20411
1263,22051
1784,11403
1614,11350
239,10617
1728,12125
920,3246
2054,7601
1928,13789
1963,6961
1516,888
597,22043
1999,20189
272,3965
828,10887
745,11810
1617,2748
504,15431
1671,20794
2106,1253
2211,4646
973,21568
548,3414
1753,16220
102,11759
155,3446
717,20106
1637,1270
611,8429
1417,7248
1874,14194
2031,9533
1774,18402
1726,18463
540,9383
931,6451
585,14867
1217,5249
1037,12168
1733,21812
1092,13747
2101,15843
2125,16072
53,17892
356,21591
1938,19138
680,843
2516,20309
1083,20644
455,19347
104,11791
2339,2236
2538,2279
1771,235
1652,14384
39,10872
1952,1769
2252,16783
749,15430
2188,2671
999,4923
714,16478
903,16989
1704,16231
1957,17570
429,3273
164,18937
1732,5720
446,5774
833,18899
694,20006
1976,12093
1398,4586
182,7399
2527,13282
41,6816
1030,10555
2000,14202
1301,6494
1701,18549
938,15252
2239,326
1623,6592
1772,2222
1862,15434
1868,4494
522,14014
2019,16543
1966,656
184,2959
2132,7358
1029,16791
649,1427
2117,14557
955,4702
2387,20821
2072,4159
329,7314
1359,1903
2118,20621
1487,3573
498,5577
1684,17948
2209,17162
1717,17261
2368,15351
1456,18231
1905,7800
2481,6885
1997,12451
378,21690
1426,10692
389,10543
1499,4637
2123,1794
313,8870
1863,21325
1175,19245
7,1303
1165,3695
567,12173
2087,11143
1186,16092
2496,12024
2265,18698
1291,17829
2427,1156
1549,18948
2540,5175
1320,884
1821,10711
322,9990
20,16837
816,11998
483,9130
502,11435
1656,14169
1458,16055
1854,10030
336,20174
1525,12543
632,13149
752,7075
2264,19007
1218,5267
1919,543
215,6601
518,2138
961,14317
1975,8180
1884,17578
1716,17396
1512,20844
1183,11288
1340,8496
231,10436
151,691
1070,18620
2097,21457
1356,11269
1163,6862
1180,4537
2501,4362
131,5595
1850,17488
33,11683
426,14868
1119,3471
1477,2432
1368,12442
468,20645
2394,13251
1628,6288
603,21731
797,6508
949,7346
2028,12891
1370,5172
1287,15033
1951,20443
2334,10108
1195,5364
1268,4380
2219,245
563,18915
201,6828
1545,21374
1242,2465
1481,4162
1461,3780
2276,12760
1934,9578
395,99
1394,19580
2107,8358
2507,5038
765,15415
2550,15807
1107,12700
975,13422
1973,3155
2076,18297
2400,10787
2349,18166
1155,14873
1946,1315
1800,255
681,20251
221,16624
1577,13540
346,8304
1877,2927
345,8386
539,11542
1432,6230
85,9496
2397,10117
2254,345
2029,14035
172,1152
1571,6998
2013,9226
2033,18679
2515,4424
315,7705
811,453
2237,1696
742,8235
176,4854
1513,1592
2083,14539
1860,5560
399,713
2006,13921
558,5883
130,9890
2315,9548
514,14881
667,7079
666,12514
2295,21434
1324,912
2089,7048
1316,4506
2267,2527
2327,8544
1451,4719
750,10530
785,10845
2156,14545
925,21757
193,19880
1891,15304
615,17519
1108,10672
2078,3894
186,1928
974,19753
29,6031
935,14800
2164,3694
219,8696
1510,19042
2121,4432
347,14458
1237,6974
2047,8524
1851,13348
114,9223
1248,16298
1791,19538
916,8910
1457,8346
1535,18999
1837,13677
1714,18512
2231,17839
1136,17383
2293,6548
431,18464
1657,16332
1189,2759
1695,17274
1621,16058
2539,10705
941,2805
1230,4667
1102,7853
1380,20890
2092,13767
2146,6470
1014,7028
2440,6643
1011,13413
2140,6965
2229,14755
351,10048
1895,7660
1655,10361
1666,6194
1640,9564
1448,7902
1305,2558
719,6972
2243,481
997,4379
312,13299
617,19540
584,965
1224,8070
1261,8266
1708,16226
1635,20243
932,2813
1908,20111
1893,11120
836,8739
2378,11830
537,790
908,13023
235,21783
1166,3903
2141,11048
2024,18710
1353,6819
529,17879
737,6759
1672,9027
1506,16666
512,9060
991,12312
874,5644
692,18704
1595,13390
2356,5527
944,14177
1454,10760
1742,15527
1355,559
781,17483
1944,828
887,12783
2248,8368
78,12347
138,11468
1124,15647
398,16514
1286,16535
1149,9481
531,19817
2381,3482
181,12012
2331,21976
2438,2861
2111,3377
95,10966
1699,17103
2461,13243
871,20288
604,15829
281,7824
669,12490
788,14901
1790,19800
710,2945
1606,18687
1405,14894
986,6669
192,11131
688,4783
99,4520
266,2949
2184,11689
635,7145
2342,638
2186,13583
2503,20051
94,9051
1476,11083
2100,20731
2502,16032
387,3169
2255,14015
2052,6286
2244,594
2071,8814
2159,17899
107,12090
1137,4429
1482,8566
636,9151
1562,12169
2059,5734
1134,8789
1705,14645
1960,2284
1460,14498
599,556
594,20843
870,14930
1548,9245
2221,11340
1066,8297
447,13174
1142,14277
1626,13619
2080,16295
133,18758
662,17258
2257,8356
1789,11778
2305,10515
134,3740
1563,430
474,18529
803,4121
2329,14073
1138,9085
3,4378
2150,21343
1010,15003
2471,19283
690,12896
1715,20591
624,4039
2407,12311
905,19636
711,7671
1498,5234
1607,13172
1624,5013
1282,1240
2511,21503
9,2456
1403,21315
178,19149
1738,20132
1700,13659
2039,7443
2016,12006
1855,12474
1769,5882
709,1096
1882,10854
1009,780
850,8443
769,6362
1875,9386
934,13148
2073,15479
1727,14918
1829,19353
157,16205
1578,3323
227,2202
654,14489
1071,16126
780,14278
225,12627
2488,5635
1207,6898
648,4759
950,15942
880,5986
2412,7233
448,13173
2179,18387
1579,11460
1559,14553
637,15920
2542,6690
907,13994
1365,18372
527,485
2324,20693
1151,18330
2260,13722
561,18152
1467,16059
2201,17198
1090,16634
2548,19117
496,4496
1360,994
1036,10880
1178,18153
218,5046
805,14294
2543,2533
722,12995
2508,11582
1295,6405
684,17573
1468,2293
1827,2578
1063,3145
1834,16331
1681,13297
695,12569
476,2717
2224,14686
917,17317
167,15437
1986,6413
147,21192
173,1249
1504,4817
382,12582
820,6298
386,4058
328,14369
1413,2788
2523,10365
1899,5458
2094,15247
2317,15825
838,715
30,11088
2459,7486
818,979
26,537
937,19775
2474,14437
1125,8267
1802,14924
472,15367
857,7347
145,15891
454,1891
1810,577
2069,21448
480,376
91,17687
1866,14359
2007,20461
294,19911
1367,12146
337,6115
2328,16352
491,19957
2531,19976
1140,9097
2213,21798
1508,19514
2274,356
6,9015
625,18443
588,20108
1903,10674
614,22045
1022,12116
1883,19123
1065,10600
1937,8500
1112,10800
2210,16560
1311,14760
1651,13804
2040,9550
258,10646
979,9553
1418,14715
1031,13438
1592,16658
2296,12892
1074,20740
1550,11326
1663,10771
90,21917
739,11687
424,8534
2435,20419
463,11440
2478,16862
1610,10450
1949,17302
375,5041
1081,21587
1347,12431
2409,11714
1035,21947
663,7135
2485,8095
1992,1274
461,18389
2160,9858
1244,10288
1229,5842
370,15071
1703,17701
895,12463
741,11537
470,10874
1529,1441
1901,10882
2340,3758
1489,2077
1542,10127
1277,1880
1630,10851
1474,3961
101,2593
672,2944
2441,21373
2335,8279
1262,12734
734,5991
1552,9156
1194,14916
416,19475
2103,2963
503,10206
1402,20183
2192,3144
81,17194
217,5274
2479,10669
1159,13109
297,15653
595,14869
1618,6364
1266,4232
591,5594
317,1082
286,18626
1885,2010
2273,5255
658,21942
1210,1324
202,2447
770,11223
260,3777
1589,2645
507,11953
926,4426
1861,18357
1024,12674
299,4644
1362,17388
1927,19026
2063,6308
2099,12941
64,8391
2025,2698
1385,17536
500,12544
2191,16173
1317,20506
970,6930
2422,8663
1539,4756
2345,15061
1095,2702
511,1392
97,15904
1748,17507
323,1244
542,13159
2061,352
2519,2668
2230,12949
1573,5415
2392,15893
2332,18200
1534,1090
2297,10869
2030,13167
54,6572
303,19299
2096,2974
2374,3051
2510,11625
1148,16756
1907,10481
547,9295
149,8943
996,2750
364,9532
1424,8192
1846,15547
1509,9332
1501,5285
687,20212
541,9189
1251,2073
906,3469
168,20286
2483,11841
276,15426
1185,11039
544,13664
319,21483
1073,2522
1423,9727
720,13398
704,18206
1713,21093
2147,2887
58,21239
1005,11657
2124,11564
2371,10923
919,17371
25,6984
861,11942
1104,1397
1930,15375
179,8545
2245,3566
307,10209
144,7970
1803,6872
2341,7893
80,6526
1720,20522
2236,1662
2497,19525
388,1450
1660,11172
1609,2509
1931,11214
1939,20177
1298,8455
1219,14406
1435,7324
457,8018
1953,11438
1412,16818
2139,101
259,10734
1369,14864
